X,Rodada,Scouts,status,status_id,media,pontos,apelido,preco,partida_data,jogos,variacao,id,clube,posicao
16,4,PE=1;FD=1,Nulo,6,0.7,0.7,Riascos,5.92,31/05/2015,1,-1.08,83189,vasco,Atacante
17,4,FS=2;PE=2;RB=1;FC=2;FD=2,Nulo,6,1.55,3.9,Alan Patrick,5.9,31/05/2015,2,0.2,68685,palmeiras,Meia
18,4,FF=1,Nulo,6,0.7,0,Vítor,5.88,31/05/2015,1,0,68904,sport,Lateral
19,4,FS=1;PE=4;RB=5;FC=4;CA=1,Provável,7,1.9,0.7,Rosinei,5.87,30/05/2015,2,-0.36,37654,coritiba,Meia
20,4,FS=1;PE=2;FC=1;FD=1,Nulo,6,0.4,0,Lucas Coelho,5.85,31/05/2015,1,0,82632,goiás,Atacante
1,4,FS=1,Nulo,6,0.5,0,Jhon Cley,5.78,31/05/2015,1,0,78652,vasco,Meia
2,4,FS=1,Dúvida,2,0.5,0,Edigar Junio,5.78,30/05/2015,1,0,74271,atlético-pr,Atacante
3,4,FS=3;PE=3;I=1;RB=1,Nulo,6,0.9,1.8,Joel,5.75,31/05/2015,2,0.2,82787,cruzeiro,Atacante
4,4,FS=3;PE=2;I=2;RB=1;FC=1;CA=1,Contundido,5,-0.45,0,Pedro Geromel,5.7,31/05/2015,2,0,80853,grêmio,Zagueiro
5,4,SG=1;PE=1;DD=2;GS=1,Provável,7,4.35,0.7,Muriel,5.7,31/05/2015,2,-0.48,69041,internacional,Goleiro
6,4,FS=1;PE=6;RB=6;CA=1;FF=1;FD=1,Dúvida,2,8.6,8.6,Otávio ,5.67,30/05/2015,1,2.67,82463,atlético-pr,Meia
7,4,SG=1;FS=6;PE=2;RB=1,Provável,7,4.55,8,Samuel Xavier,5.64,31/05/2015,2,2.74,73384,sport,Lateral
8,4,FS=5;PE=6;G=1;I=2;FC=4;FF=1,Provável,7,2.13,0.1,Thiago Galhardo,5.63,30/05/2015,3,-0.75,71844,coritiba,Meia
9,4,FS=1;PE=1;RB=2;FF=2,Nulo,6,2.5,0,Everton,5.62,31/05/2015,2,0,86757,grêmio,Atacante
10,4,FS=3;PE=11;RB=5;FC=2;CA=2;FF=1,Nulo,6,0.8,-1.8,Serginho,5.62,31/05/2015,3,-1.39,50454,vasco,Meia
11,4,FS=1;PE=3;I=1;RB=2;FC=2,Nulo,6,0.75,1.9,William Henrique,5.62,30/05/2015,2,0.27,70928,joinville,Atacante
12,4,FS=3;PE=1;RB=1;FC=1,Contundido,5,1.2,0,Almir,5.6,31/05/2015,2,0,37993,flamengo,Meia
